short id,full name,state,party,full name,party,state,distinct,canonical URL,url1,url2
abercrombie,"Abercrombie, Neil", Hawaii,,Neil Abercrombie,D,HI,1,http://house.gov/abercrombie/,gov.house.www/abercrombie,
ackerman,"Ackerman, Gary", New York,,Gary Ackerman,D,NY,5,http://house.gov/ackerman/,gov.house.www/ackerman,
aderholt,"Aderholt, Robert B.", Alabama,,Robert Aderholt,R,AL,4,http://house.gov/aderholt/,,
akin,"Akin, Todd", Missouri,,Todd Akin,R,MO,2,http://house.gov/akin/,gov.house.www/akin,
alexander,"Alexander, Rodney", Louisiana,,Rodney Alexander,R,LA,5,http://www.house.gov/alexander/,,
tomallen,"Allen, Tom", Maine,,Tom Allen,D,ME,1,http://tomallen.house.gov/,,
andrews,"Andrews, Robert E.", New Jersey,,Rob Andrews,D,NJ,1,http://house.gov/andrews/,gov.house.www/andrews,
baca,"Baca, Joe", California,,Joe Baca,D,CA,43,http://www.house.gov/baca/,gov.house.www/baca,
bachus,"Bachus, Spencer", Alabama,,Spencer Bachus,R,AL,6,http://house.gov/bachus/,gov.house.www/bachus,
baird,"Baird, Brian", Washington,,Brian Baird,D,WA,3,http://house.gov/baird/,gov.house.www/baird,
baker,"Baker, Richard", Louisiana,,Richard Baker,R,LA,6,http://house.gov/baker/,gov.house.baker,
tammybaldwin,"Baldwin, Tammy", Wisconsin,,Tammy Baldwin,D,WI,2,http://tammybaldwin.house.gov/,gov.house.tammybaldwin,
ballance,"Ballance, Frank W.", North Carolina,,Frank Ballance,D,NC,1,http://www.house.gov/ballance/,gov.house.www/ballance,
ballenger,"Ballenger, Cass", North Carolina,,Cass Ballenger,R,NC,10,http://ballenger.house.gov/,,
barrett,"Barrett, J. Gresham", South Carolina,,Gresham Barrett,R,SC,3,http://www.house.gov/barrett/,gov.house.www/barrett,
bartlett,"Bartlett, Roscoe G.", Maryland,,Roscoe Bartlett,R,MD,6,http://www.bartlett.house.gov/,gov.house.bartlett.www/24seven,gov.house.bartlett.www/24Seven
joebarton,"Barton, Joe", Texas,,Joe Barton,R,TX,6,http://joebarton.house.gov/,,
bass,"Bass, Charles F.", New Hampshire,,Charles Foster Bass,R,NH,2,http://house.gov/bass/,gov.house.www/bass,
beauprez,"Beauprez, Bob", Colorado,,Bob Beauprez,R,CO,7,http://www.house.gov/beauprez/,gov.house.www/beauprez,
becerra,"Becerra, Xavier", California,,Xavier Becerra,D,CA,31,http://house.gov/becerra/,gov.house.www/becerra,
bell,"Bell, Chris", Texas,,Chris Bell (politician),D,TX,25,http://bell.house.gov/,gov.house.bell,
bereuter,"Bereuter, Doug", Nebraska,,Doug Bereuter,R,NE,1,http://house.gov/bereuter/,gov.house.www/bereuter,
berkley,"Berkley, Shelley", Nevada,,Shelley Berkley,D,NV,1,http://house.gov/berkley/,gov.house.www/berkley,
berman,"Berman, Howard L.", California,,Howard Berman,D,CA,28,http://house.gov/berman/,gov.house.www/berman,
berry,"Berry, Marion", Arkansas,,Marion Berry,D,AR,1,http://house.gov/berry/,gov.house.www/berry,
judybiggert,"Biggert, Judy", Illinois,,Judy Biggert,R,IL,13,http://judybiggert.house.gov/,,
bilirakis,"Bilirakis, Mike", Florida,,Michael Bilirakis,R,FL,9,http://house.gov/bilirakis/,gov.house.www/bilirakis,
robbishop,"Bishop, Rob", Utah,,Sanford Bishop,D,GA,2,http://www.house.gov/robbishop/,,
bishop,"Bishop, Sanford D.", Georgia,,Rob Bishop,R,UT,1,http://house.gov/bishop/,gov.house.www/bishop,
timbishop,"Bishop, Timothy H.", New York,,Tim Bishop,D,NY,1,http://wwwc.house.gov/timbishop/,,
blackburn,"Blackburn, Marsha", Tennessee,,Marsha Blackburn,R,TN,7,http://www.house.gov/blackburn/,gov.house.www/blackburn,
blumenauer,"Blumenauer, Earl", Oregon,,Earl Blumenauer,D,OR,3,http://house.gov/blumenauer/,gov.house.www/blumenauer,
blunt,"Blunt, Roy", Missouri,,Roy Blunt,R,MO,7,http://house.gov/blunt/,gov.house.blunt,
boehlert,"Boehlert, Sherwood", New York,,Sherwood Boehlert,D,NY,24,http://house.gov/boehlert/,gov.house.www/boehlert,
johnboehner,"Boehner, John", Ohio,,John Boehner,R,OH,8,http://johnboehner.house.gov/,,
bonilla,"Bonilla, Henry", Texas,,Henry Bonilla,R,TX,23,http://house.gov/bonilla/,gov.house.www/bonilla,
bonner,"Bonner, Jo", Alabama,,Jo Bonner,R,AL,1,http://www.house.gov/bonner/,gov.house.www/bonner,
bono,"Bono, Mary", California,,Mary Bono,R,CA,45,http://house.gov/bono/,gov.house.www/bono,
boozman,"Boozman, John", Arkansas,,John Boozman,R,AR,3,http://house.gov/boozman/,gov.house.www/boozman,
bordallo,"Bordallo, Madeleine Z."," Guam
",,,,,,http://www.house.gov/bordallo/,gov.house.www/bordallo,
boswell,"Boswell, Leonard", Iowa,,Leonard Boswell,D,IA,3,http://house.gov/boswell/,gov.house.www/boswell,
boucher,"Boucher, Rick", Virginia,,Rick Boucher,D,VA,9,http://house.gov/boucher/,gov.house.www/boucher,
boyd,"Boyd, Allen", Florida,,Allen Boyd,D,FL,2,http://house.gov/boyd/,gov.house.www/boyd,
bradley,"Bradley, Jeb", New Hampshire,,Jeb Bradley,R,NH,1,http://www.house.gov/bradley/,gov.house.www/bradley,
brady,"Brady, Kevin", Texas,,Kevin Brady,R,TX,8,http://house.gov/brady/,gov.house.www/brady,
robertbrady,"Brady, Robert A.", Pennsylvania,,Robert Brady,D,PA,1,http://house.gov/robertbrady/,,
brown-waite,"Brown-Waite, Virginia ""Ginny""", Florida,,Ginny Brown-Waite,R,FL,5,http://www.house.gov/brown-waite/,gov.house.www/brown-waite,
corrinebrown,"Brown, Corrine", Florida,,Corrine Brown,D,FL,3,http://house.gov/corrinebrown/,gov.house.www/corrinebrown,
henrybrown,"Brown, Henry", South Carolina,,Henry Brown,R,SC,1,http://house.gov/henrybrown/,gov.house.www/henrybrown,
sherrodbrown,"Brown, Sherrod", Ohio,,Sherrod Brown,D,OH,13,http://house.gov/sherrodbrown/,gov.house.www/sherrodbrown,
burgess,"Burgess, Michael C.", Texas,,Michael Burgess,R,TX,26,http://burgess.house.gov/,gov.house.burgess,
burns,"Burns, Max",Georgia,R,http://www.house.gov/burns/,gov.senate.www/~burns,gov.senate.burns,
burr,"Burr, Richard", North Carolina,,Richard Burr,R,NC,5,http://house.gov/burr/,gov.house.www/burr,
burton,"Burton, Dan", Indiana,,Dan Burton,R,IN,5,http://www.house.gov/burton/,gov.house.www/burton,
buyer,"Buyer, Steve", Indiana,,Steve Buyer,R,IN,4,http://house.gov/buyer/,gov.house.www/buyer,
calvert,"Calvert, Ken", California,,Ken Calvert,R,CA,44,http://house.gov/calvert/,gov.house.www/calvert,
camp,"Camp, Dave", Michigan,,Dave Camp,R,MI,4,http://wwwc.house.gov/camp/,gov.house.wwwc/camp,gov.house.wwwb/camp
cannon,"Cannon, Chris", Utah,,Chris Cannon,R,UT,3,http://house.gov/cannon/,gov.house.www/cannon,gov.house.chriscannon
cantor,"Cantor, Eric", Virginia,,Eric Cantor,R,VA,7,http://cantor.house.gov/,gov.house.www/cantor,gov.house.cantor
capito,"Capito, Shelley Moore", West Virginia,,Shelley Moore Capito,R,WV,2,http://house.gov/capito/,gov.house.www/capito,
capps,"Capps, Lois", California,,Lois Capps,D,CA,23,http://house.gov/capps/,gov.house.www/capps,
capuano,"Capuano, Michael E.", Massachusetts,,Mike Capuano,D,MA,8,http://house.gov/capuano/,gov.house.www/capuano,
cardin,"Cardin, Ben", Maryland,,Ben Cardin,D,MD,3,http://house.gov/cardin/,gov.house.www/cardin,
cardoza,"Cardoza, Dennis A.", California,,Dennis Cardoza,D,CA,18,http://www.house.gov/cardoza/,gov.house.www/cardoza,
bradcarson,"Carson, Brad", Oklahoma,,Brad Carson,D,OK,2,http://house.gov/bradcarson/,gov.house.www/bradcarson,
juliacarson,"Carson, Julia", Indiana,,Julia Carson,D,IN,7,http://www.juliacarson.house.gov/,gov.house.juliacarson.www/images,gov.house.juliacarson
carter,"Carter, John R.", Texas,,John Carter,R,TX,31,http://www.house.gov/carter/,gov.house.www/carter,
case,"Case, Ed", Hawaii,,Ed Case,D,HI,2,http://wwwc.house.gov/case/,gov.house.wwwc/case,
castle,"Castle, Michael N.", Delaware,,Michael N. Castle,R,"DE
",,http://house.gov/castle/,gov.house.www/castle,
chabot,"Chabot, Steve", Ohio,,Steve Chabot,R,OH,1,http://house.gov/chabot/,,
chocola,"Chocola, Chris", Indiana,,Chris Chocola,R,IN,2,http://www.house.gov/chocola/,gov.house.www/chocola,
christian-christensen,"Christian-Christensen, Donna"," U.S. Virgin Islands
",,,,,,http://house.gov/christian-christensen/,gov.house.www/christian-christensen,
clay,"Clay, Wm. Lacy", Missouri,,William Lacy Clay,D,MO,1,http://house.gov/clay/,gov.house.www/clay,
clyburn,"Clyburn, James E.", South Carolina,,James Clyburn,D,SC,6,http://house.gov/clyburn/,gov.house.www/clyburn,
coble,"Coble, Howard", North Carolina,,Howard Coble,R,NC,6,http://house.gov/coble/,gov.house.www/coble,
cole,"Cole, Tom", Oklahoma,,Tom Cole,R,OK,4,http://www.house.gov/cole/,gov.house.www/cole,
maccollins,"Collins, Mac", Georgia,,Mac Collins,R,GA,8,http://www.house.gov/maccollins/,,
conyers,"Conyers, John", Michigan,,John Conyers,D,MI,14,http://house.gov/conyers/,gov.house.www/conyers,
costello,"Costello, Jerry F.", Illinois,,Jerry Costello,D,IL,12,http://house.gov/costello/,gov.house.www/costello,
cox,"Cox, Christopher", California,,Christopher Cox,R,CA,48,http://cox.house.gov/,gov.house.cox,
cramer,"Cramer, Bud", Alabama,,Bud Cramer,D,AL,5,http://house.gov/cramer/,gov.house.cramer,
crane,"Crane, Phil", Illinois,,Phil Crane,R,IL,8,http://house.gov/crane/,gov.house.www/crane,
crenshaw,"Crenshaw, Ander", Florida,,Ander Crenshaw,R,FL,4,http://crenshaw.house.gov/,,
crowley,"Crowley, Joseph", New York,,Joe Crowley,D,NY,7,http://crowley.house.gov/,gov.house.www/crowley,
cubin,"Cubin, Barbara", Wyoming,,Barbara Cubin,R,"WY
",,http://house.gov/cubin/,gov.house.www/cubin,
culberson,"Culberson, John", Texas,,John Culberson,R,TX,7,http://www.culberson.house.gov/,gov.house.www/culberson,gov.house.culberson
cummings,"Cummings, Elijah E.", Maryland,,Elijah Cummings,D,MD,7,http://house.gov/cummings/,gov.house.www/cummings,
cunningham,"Cunningham, Randy ""Duke""", California,,Duke Cunningham,R,CA,50,http://www.house.gov/cunningham/,gov.house.www/cunningham,
arturdavis,"Davis, Artur", Alabama,,Artur Davis,D,AL,7,http://www.house.gov/arturdavis/,,
davis,"Davis, Danny K.", Illinois,,Danny Davis,D,IL,7,http://house.gov/davis/,gov.house.www/davis,
jimdavis,"Davis, Jim", Florida,,Jim Davis,D,FL,11,http://house.gov/jimdavis/,,
joanndavis,"Davis, Jo Ann", Virginia,,Jo Ann Davis,R,VA,1,http://house.gov/joanndavis/,,
lincolndavis,"Davis, Lincoln", Tennessee,,Lincoln Davis,D,TN,4,http://www.house.gov/lincolndavis/,,
susandavis,"Davis, Susan A.", California,,Susan Davis,D,CA,53,http://house.gov/susandavis/,,
tomdavis,"Davis, Tom", Virginia,,Thomas M. Davis,R,VA,11,http://house.gov/tomdavis/,,
deal,"Deal, Nathan", Georgia,,Nathan Deal,R,GA,10,http://www.house.gov/deal/,gov.house.www/deal,
defazio,"DeFazio, Peter", Oregon,,Peter DeFazio,D,OR,4,http://house.gov/defazio/index.htm,gov.house.www/defazio,gov.house.defazio
degette,"DeGette, Diana", Colorado,,Diana DeGette,D,CO,1,http://house.gov/degette/,gov.house.www/degette,
delahunt,"Delahunt, Bill", Massachusetts,,Bill Delahunt,D,MA,10,http://house.gov/delahunt/,gov.house.www/delahunt,
delauro,"DeLauro, Rosa L.", Connecticut,,Rosa DeLauro,D,CT,3,http://www.house.gov/delauro/,gov.house.www/delauro,
tomdelay,"DeLay, Tom", Texas,,Tom DeLay,R,TX,22,http://tomdelay.house.gov/,gov.house.tomdelay,
